Barcode_ID,Timestamp,Weight
109,2025-10-21 16:35:45,3.102 kg  G
109,2025-10-21 16:37:26,3.420 kg  G
114,2025-10-21 16:37:47,2.174 kg  G
114,2025-10-21 16:38:14,2.240 kg  G
107,2025-10-21 16:38:30,3.288 kg  G
107,2025-10-21 16:39:07,3.534 kg  G
110,2025-10-21 16:39:26,3.046 kg  G
110,2025-10-21 16:39:57,3.324 kg  G
115,2025-10-21 16:42:07,2.174 kg  G
115,2025-10-21 16:48:10,2.292 kg  G
98,2025-10-21 16:48:55,2.370 kg  G
98,2025-10-21 16:50:39,2.468 kg  G
100,2025-10-21 16:51:10,2.328 kg  G
100,2025-10-21 16:51:44,2.386 kg  G
91,2025-10-21 16:53:16,3.178 kg  G
91,2025-10-21 16:56:53,3.436 kg  G
113,2025-10-21 16:58:52,2.176 kg  G
113,2025-10-21 16:59:31,2.254 kg  G
094,2025-10-21 17:00:39,3.252 kg  G
094,2025-10-21 17:02:05,3.474 kg  G
106,2025-10-21 17:02:37,3.078 kg  G
106,2025-10-21 17:03:50,3.362 kg  G
96,2025-10-21 17:04:15,2.234 kg  G
96,2025-10-21 17:04:51,2.330 kg  G
97,2025-10-21 17:05:20,2.164 kg  G
97,2025-10-21 17:06:03,2.274 kg  G
112,2025-10-21 17:06:28,2.410 kg  G
112,2025-10-21 17:06:58,2.502 kg  G
095,2025-10-21 17:07:28,3.364 kg  G
095,2025-10-21 17:08:05,3.500 kg  G
93,2025-10-21 17:08:31,3.198 kg  G
93,2025-10-21 17:09:18,3.414 kg  G
99,2025-10-21 17:09:43,2.362 kg  G
99,2025-10-21 17:10:19,2.440 kg  G
92,2025-10-21 17:10:59,3.118 kg  N
92,2025-10-21 17:11:54,3.396 kg  N
111,2025-10-21 17:12:27,2.220 kg  G
111,2025-10-21 17:12:49,2.302 kg  G
108,2025-10-21 17:13:11,3.046 kg  G
108,2025-10-21 17:13:53,3.324 kg  G
06,2025-10-21 17:15:16,1.362 kg  G
06,2025-10-21 17:16:00,1.408 kg  G
03,2025-10-21 17:16:22,1.444 kg  G
03,2025-10-21 17:17:20,1.502 kg  G
11,2025-10-21 17:17:42,1.318 kg  G
11,2025-10-21 17:17:48,1.316 kg  G
29,2025-10-21 17:18:05,1.282 kg  G
29,2025-10-21 17:18:45,1.314 kg  G
14,2025-10-21 17:19:06,1.334 kg  G
14,2025-10-21 17:19:36,1.372 kg  G
08,2025-10-21 17:19:57,1.356 kg  G
08,2025-10-21 17:20:38,1.396 kg  G
13,2025-10-21 17:21:14,1.282 kg  G
13,2025-10-21 17:21:55,1.314 kg  G
12,2025-10-21 17:22:11,1.316 kg  G
12,2025-10-21 17:22:51,1.368 kg  G
33,2025-10-21 17:23:06,1.472 kg  G
33,2025-10-21 17:23:47,1.528 kg  G
32,2025-10-21 17:24:05,1.500 kg  G
32,2025-10-21 17:24:31,1.562 kg  G
05,2025-10-21 17:24:47,1.540 kg  G
05,2025-10-21 17:25:14,1.588 kg  G
43,2025-10-21 17:25:48,1.278 kg  G
43,2025-10-21 17:26:30,1.318 kg  G
15,2025-10-21 17:26:47,1.272 kg  G
15,2025-10-21 17:27:21,1.260 kg  G
15,2025-10-21 17:28:04,1.284 kg  G
34,2025-10-21 17:28:26,1.492 kg  G
34,2025-10-21 17:29:01,1.542 kg  G
24,2025-10-21 17:29:25,1.326 kg  G
24,2025-10-21 17:29:44,1.356 kg  G
25,2025-10-21 17:30:05,1.302 kg  G
25,2025-10-21 17:30:23,1.334 kg  G
38,2025-10-21 17:31:03,1.318 kg  G
38,2025-10-21 17:31:40,1.364 kg  G
26,2025-10-21 17:31:53,1.310 kg  G
26,2025-10-21 17:32:29,1.346 kg  G
22,2025-10-21 17:32:43,1.328 kg  G
22,2025-10-21 17:33:10,1.370 kg  G
19,2025-10-21 17:33:55,1.474 kg  G
19,2025-10-21 17:34:25,1.548 kg  G
30,2025-10-21 17:34:42,1.318 kg  G
30,2025-10-21 17:34:58,1.336 kg  G
02,2025-10-21 17:35:16,1.478 kg  G
02,2025-10-21 17:36:00,1.536 kg  G
44,2025-10-21 17:36:16,1.292 kg  G
44,2025-10-21 17:36:37,1.312 kg  G
18,2025-10-21 17:37:18,1.526 kg  G
18,2025-10-21 17:37:42,1.558 kg  G
16,2025-10-21 17:37:59,1.484 kg  G
16,2025-10-21 17:38:43,1.520 kg  G
09,2025-10-21 17:38:58,1.424 kg  G
09,2025-10-21 17:39:21,1.444 kg  G
45,2025-10-21 17:39:36,1.286 kg  G
45,2025-10-21 17:40:05,1.302 kg  G
21,2025-10-21 17:40:45,1.354 kg  G
21,2025-10-21 17:41:23,1.398 kg  G
40,2025-10-21 17:41:42,1.336 kg  G
40,2025-10-21 17:42:16,1.356 kg  G
27,2025-10-21 17:42:31,1.290 kg  G
27,2025-10-21 17:42:45,1.300 kg  G
35,2025-10-21 17:43:04,1.496 kg  G
35,2025-10-21 17:43:31,1.518 kg  G
10,2025-10-21 17:44:09,1.408 kg  G
10,2025-10-21 17:44:29,1.434 kg  G
01,2025-10-21 17:44:44,1.528 kg  G
01,2025-10-21 17:45:17,1.572 kg  G
31,2025-10-21 17:45:36,1.504 kg  G
31,2025-10-21 17:46:06,1.548 kg  G
20,2025-10-21 17:46:21,1.486 kg  G
20,2025-10-21 17:46:45,1.522 kg  G
39,2025-10-21 17:47:27,1.350 kg  G
39,2025-10-21 17:47:49,1.386 kg  G
41,2025-10-21 17:48:06,1.298 kg  G
41,2025-10-21 17:48:29,1.330 kg  G
07,2025-10-21 17:48:47,1.350 kg  G
07,2025-10-21 17:49:21,1.396 kg  G
17,2025-10-21 17:49:38,1.520 kg  G
17,2025-10-21 17:50:04,1.568 kg  G
37,2025-10-21 17:51:00,1.262 kg  G
37,2025-10-21 17:51:29,1.310 kg  G
36,2025-10-21 17:51:55,1.400 kg  G
36,2025-10-21 17:52:00,1.400 kg  G
42,2025-10-21 17:52:14,1.240 kg  G
42,2025-10-21 17:52:50,1.292 kg  G
23,2025-10-21 17:53:06,1.318 kg  G
23,2025-10-21 17:53:29,1.374 kg  G
04,2025-10-21 17:53:45,1.494 kg  G
