Barcode_ID,Timestamp,Weight
92,2025-10-25 18:51:18,3.148 kg  N
92,2025-10-25 18:51:50,3.414 kg  N
111,2025-10-25 18:52:15,2.088 kg  N
111,2025-10-25 18:52:43,2.326 kg  N
112,2025-10-25 18:53:03,2.310 kg  N
112,2025-10-25 18:53:47,2.514 kg  N
100,2025-10-25 18:54:03,2.240 kg  N
100,2025-10-25 18:54:32,2.404 kg  N
91,2025-10-25 18:54:50,3.002 kg  N
91,2025-10-25 18:55:33,3.438 kg  N
97,2025-10-25 18:55:53,2.074 kg  N
97,2025-10-25 18:56:18,2.274 kg  N
115,2025-10-25 18:56:37,2.102 kg  N
115,2025-10-25 18:57:09,2.268 kg  N
113,2025-10-25 19:08:30,2.250 kg  N
110,2025-10-25 19:08:50,2.966 kg  N
110,2025-10-25 19:09:22,3.332 kg  N
107,2025-10-25 19:09:52,3.156 kg  N
107,2025-10-25 19:10:23,3.526 kg  N
114,2025-10-25 19:10:43,2.082 kg  N
114,2025-10-25 19:11:06,2.232 kg  N
94,2025-10-25 19:11:24,3.044 kg  N
94,2025-10-25 19:12:20,3.500 kg  N
106,2025-10-25 19:12:41,2.942 kg  N
106,2025-10-25 19:13:16,3.362 kg  N
95,2025-10-25 19:13:35,3.276 kg  N
95,2025-10-25 19:14:04,3.496 kg  N
96,2025-10-25 19:14:23,2.158 kg  N
96,2025-10-25 19:14:52,2.336 kg  N
98,2025-10-25 19:15:10,2.280 kg  N
98,2025-10-25 19:15:37,2.462 kg  N
99,2025-10-25 19:15:54,2.248 kg  N
99,2025-10-25 19:16:16,2.444 kg  N
108,2025-10-25 19:16:38,2.962 kg  N
108,2025-10-25 19:17:20,3.324 kg  N
109,2025-10-25 19:17:39,3.014 kg  N
109,2025-10-25 19:18:07,3.418 kg  N
93,2025-10-25 19:18:23,3.042 kg  N
93,2025-10-25 19:18:56,3.410 kg  N
