Barcode_ID,Timestamp,Weight
34,2025-10-20 13:08:46,1.522 kg  G
34,2025-10-20 13:18:11,1.542 kg  G
25,2025-10-20 13:18:49,1.320 kg  G
25,2025-10-20 13:19:37,1.334 kg  G
43,2025-10-20 13:20:30,1.304 kg  G
43,2025-10-20 13:23:40,1.318 kg  G
32,2025-10-20 13:24:11,1.540 kg  G
32,2025-10-20 13:24:51,1.562 kg  G
15,2025-10-20 13:30:11,1.274 kg  G
15,2025-10-20 13:30:41,1.290 kg  G
05,2025-10-20 13:32:48,1.586 kg  G
24,2025-10-20 13:33:44,1.348 kg  G
24,2025-10-20 13:36:04,1.354 kg  G
33,2025-10-20 13:36:27,1.506 kg  G
33,2025-10-20 13:43:59,1.528 kg  G
30,2025-10-20 13:45:12,1.342 kg  G
30,2025-10-20 13:46:01,1.342 kg  G
44,2025-10-20 13:46:25,1.320 kg  G
44,2025-10-20 13:46:40,1.320 kg  G
22,2025-10-20 13:47:38,1.354 kg  G
22,2025-10-20 13:48:22,1.370 kg  G
02,2025-10-20 13:50:11,1.506 kg  G
02,2025-10-20 13:50:48,1.538 kg  G
26,2025-10-20 13:53:15,1.348 kg  G
38,2025-10-20 13:55:36,1.356 kg  G
38,2025-10-20 13:58:24,1.356 kg  G
38,2025-10-20 13:58:55,1.362 kg  G
42,2025-10-20 13:59:56,1.276 kg  G
42,2025-10-20 14:00:50,1.292 kg  G
36,2025-10-20 14:02:31,1.452 kg  G
36,2025-10-20 14:02:50,1.452 kg  G
28,2025-10-20 14:05:30,1.310 kg  G
28,2025-10-20 14:05:46,1.326 kg  G
37,2025-10-20 14:07:16,1.290 kg  G
37,2025-10-20 14:07:55,1.308 kg  G
23,2025-10-20 14:08:42,1.350 kg  G
23,2025-10-20 14:09:13,1.374 kg  G
04,2025-10-20 14:10:50,1.520 kg  G
04,2025-10-20 14:11:26,1.546 kg  G
03,2025-10-20 14:14:15,1.474 kg  G
03,2025-10-20 14:14:43,1.498 kg  G
29,2025-10-20 14:17:08,1.302 kg  G
29,2025-10-20 14:17:32,1.314 kg  G
14,2025-10-20 14:18:52,1.358 kg  N
14,2025-10-20 14:19:33,1.372 kg  N
11,2025-10-20 14:20:43,1.342 kg  N
11,2025-10-20 14:20:56,1.340 kg  N
06,2025-10-20 14:22:35,1.384 kg  N
